Date,Tmax,Tmin,precip,GDD_Formula,GDD,AGDD,Tmax_7days_Avg,Tmin_7days_Avg,Prcp_7days_Avg,Prcp_days_Max,Year,Month,Day,Peak,DOY,Stage,Stage_1,Stage_2,Stage_3,Stage_4,Stage_5
1/12/1979,-3.3312633,-6.2730217,1.4161814,-8.6197425,3.8176,52.14112765,2.74863672,-3.230247211,3.689376436,12.167455,1979,1,12,0,12,,0,0,0,0,0
1/13/1979,2.0654714,-3.788273,8.71334,-4.6790008,3.8176,55.95872765,2.492707106,-3.750994229,4.703983164,12.167455,1979,1,13,0,13,,0,0,0,0,0
1/14/1979,5.5001016,1.906203,1.4656856,-0.1144477,3.8176,59.77632765,2.366357249,-3.6731701,3.175158964,10.580933,1979,1,14,0,14,,0,0,0,0,0
1/15/1979,1.0676141,-4.7059007,0,-5.6367433,3.8176,63.59392765,1.230932691,-4.728443129,1.663597107,8.71334,1979,1,15,0,15,,0,0,0,0,0
1/16/1979,1.8491678,-2.589909,0,-4.1879706,3.8176,67.41152765,0.823403191,-4.331733414,1.656458143,8.71334,1979,1,16,0,16,,0,0,0,0,0
1/17/1979,0.8937988,-1.8900367,0.8136929,-4.31571895,3.8176,71.22912765,1.061669314,-3.3358268,1.772699986,8.71334,1979,1,17,0,17,,0,0,0,0,0
1/18/1979,4.138789,-0.7438591,0.06726191,-2.12013505,3.8176,75.04672765,1.740525629,-2.583542457,1.78230883,8.71334,1979,1,18,0,18,,0,0,0,0,0
1/19/1979,-1.7156949,-7.6132927,0,-8.4820938,3.8176,78.86432765,1.971321114,-2.775009743,1.579997201,8.71334,1979,1,19,0,19,,0,0,0,0,0
1/20/1979,-1.2766116,-4.7167253,14.451521,-6.81426845,3.8176,82.68192765,1.493880686,-2.907645786,2.399737344,14.451521,1979,1,20,0,20,,0,0,0,0,0
1/21/1979,3.6511683,0.59968716,25.185787,-1.69217227,3.8176,86.49952765,1.229747357,-3.094290906,5.788323259,25.185787,1979,1,21,0,21,,0,0,0,0,0
1/22/1979,5.893828,3.4771073,0.9446697,0.86786765,3.8176,90.31712765,1.919206486,-1.925289763,5.923276073,25.185787,1979,1,22,0,22,,0,0,0,0,0
1/23/1979,4.034388,-4.064863,0,-3.8328375,3.8176,94.13472765,2.2313808,-2.135997477,5.923276073,25.185787,1979,1,23,0,23,,0,0,0,0,0
1/24/1979,9.039974,0.23965807,26.964783,0.822216035,3.8176,97.95232765,3.395120114,-1.831755367,9.659146087,26.964783,1979,1,24,0,24,,0,0,0,0,0
1/25/1979,6.3563285,1.0402616,1.5126436,-0.11930495,3.8176,101.7699277,3.711911471,-1.576880981,9.865629186,26.964783,1979,1,25,0,25,,0,0,0,0,0
1/26/1979,4.7530813,-0.16700068,0,-1.52455969,3.8176,105.5875277,4.636022357,-0.513124979,9.865629186,26.964783,1979,1,26,0,26,,0,0,0,0,0
1/27/1979,7.1304717,0.33511883,0.80934715,-0.084804735,3.8176,109.4051277,5.837034257,0.20856704,7.916747207,26.964783,1979,1,27,0,27,,0,0,0,0,0
1/28/1979,4.033309,0.6688687,10.043658,-1.46651115,3.8176,113.2227277,5.891625786,0.218450117,5.753585921,26.964783,1979,1,28,0,28,,0,0,0,0,0
1/29/1979,5.60062,3.49352,0.043472458,0.72947,3.8176,117.0403277,5.849738929,0.220794789,5.624843458,26.964783,1979,1,29,0,29,,0,0,0,0,0
1/30/1979,4.523992,-0.19334754,0,-1.65227777,3.8176,120.8579277,5.919682357,0.773868426,5.624843458,26.964783,1979,1,30,0,30,,0,0,0,0,0
1/31/1979,0.41197357,-2.8807752,0.11306842,-5.052000815,3.8176,124.6755277,4.687110867,0.328092244,1.788884233,10.043658,1979,1,31,0,31,,0,0,0,0,0
2/1/1979,-0.00444414,-2.9160762,0,-5.27786017,3.8176,128.4931277,3.778429061,-0.23709887,1.57279229,10.043658,1979,2,1,0,32,,0,0,0,0,0
2/2/1979,1.7640629,-4.12325,0,-4.99719355,3.8176,132.3107277,3.351426433,-0.802277344,1.57279229,10.043658,1979,2,2,0,33,,0,0,0,0,0
2/3/1979,1.8717163,-5.027765,0,-5.39562435,3.8176,136.1283277,2.600175661,-1.568403606,1.457171268,10.043658,1979,2,3,0,34,,0,0,0,0,0
2/4/1979,6.895193,-1.6838423,0,-1.21192465,3.8176,139.9459277,3.009016233,-1.904505177,0.022362983,0.11306842,1979,2,4,0,35,,0,0,0,0,0
2/5/1979,0.39049393,-6.2379985,0,-6.741352285,3.8176,143.7635277,2.264712509,-3.294722106,0.016152631,0.11306842,1979,2,5,0,36,,0,0,0,0,0
2/6/1979,-1.5254688,-9.5256,0,-9.3431344,3.8176,147.5811277,1.400503823,-4.627901029,0.016152631,0.11306842,1979,2,6,0,37,,0,0,0,0,0
2/7/1979,-0.7792858,-3.8519225,12.690162,-6.13320415,3.8176,151.3987277,1.230323913,-4.766636357,1.812880286,12.690162,1979,2,7,0,38,,0,0,0,0,0
2/8/1979,0.6575335,-10.254289,1.6442006,-8.61597775,3.8176,155.2163277,1.324892147,-5.814952471,2.047766086,12.690162,1979,2,8,0,39,,0,0,0,0,0
2/9/1979,-4.4467645,-7.3706164,1.9245157,-9.72629045,3.8176,159.0339277,0.43763109,-6.278861957,2.3226969,12.690162,1979,2,9,0,40,,0,0,0,0,0
2/10/1979,-5.0787244,-14.922481,0,-13.8182027,3.8176,162.8515277,-0.55528901,-7.692392814,2.3226969,12.690162,1979,2,10,0,41,,0,0,0,0,0
2/11/1979,-2.980105,-17.845354,0,-14.2303295,3.8176,166.6691277,-1.966045867,-10.0011802,2.3226969,12.690162,1979,2,11,0,42,,0,0,0,0,0
2/12/1979,-5.507675,-12.284245,8.605767,-12.71356,3.8176,170.4867277,-2.808641429,-10.8649297,3.552092186,12.690162,1979,2,12,0,43,,0,0,0,0,0
2/13/1979,-5.9086566,-11.835819,2.213353,-12.6898378,3.8176,174.3043277,-3.434811114,-11.19496099,3.868285471,12.690162,1979,2,13,0,44,,0,0,0,0,0
2/14/1979,-6.4450927,-15.521645,0,-14.80096885,3.8176,178.1219277,-4.2442121,-12.8620642,2.055405186,8.605767,1979,2,14,0,45,,0,0,0,0,0
2/15/1979,-5.4074244,-9.027584,0.55915296,-11.0351042,3.8176,181.9395277,-5.110634657,-12.68682063,1.90039838,8.605767,1979,2,15,0,46,,0,0,0,0,0
2/16/1979,-2.1697516,-6.1928124,1.2305927,-7.998882,3.8176,185.7571277,-4.7853471,-12.51856291,1.801266523,8.605767,1979,2,16,0,47,,0,0,0,0,0
2/17/1979,-5.7109566,-13.7926855,0,-13.56942105,3.8176,189.5747277,-4.875665986,-12.35716356,1.801266523,8.605767,1979,2,17,0,48,,0,0,0,0,0
2/18/1979,-12.222835,-18.246164,3.7838693,-19.0520995,3.8176,193.3923277,-6.196055986,-12.41442213,2.34181928,8.605767,1979,2,18,0,49,,0,0,0,0,0
2/19/1979,-3.8016014,-15.32174,31.134113,-13.3792707,3.8176,197.2099277,-5.952331186,-12.84834999,5.560154423,31.134113,1979,2,19,0,50,,0,0,0,0,0
2/20/1979,1.9192857,-11.1457615,0.4235155,-8.4308379,3.8176,201.0275277,-4.834053714,-12.74977034,5.304463351,31.134113,1979,2,20,0,51,,0,0,0,0,0
2/21/1979,2.7501001,-6.608946,5.362047,-5.74702295,3.8176,204.8451277,-3.520454743,-11.47652763,6.070470066,31.134113,1979,2,21,0,52,,0,0,0,0,0
2/22/1979,7.8620086,-2.222321,0.4024396,-0.9977562,3.8176,208.6627277,-1.624821457,-10.5043472,6.048082443,31.134113,1979,2,22,0,53,,0,0,0,0,0
2/23/1979,5.3918386,-1.0895576,0.48218322,-1.6664595,3.8176,212.4803277,-0.544594286,-9.7753108,5.941166803,31.134113,1979,2,23,0,54,,0,0,0,0,0
2/24/1979,4.829464,2.5043776,29.145618,-0.1506792,3.8176,216.2979277,0.961180086,-7.447158929,10.10482652,31.134113,1979,2,24,0,55,,0,0,0,0,0
2/25/1979,4.949372,4.063701,28.748142,0.6889365,0.6889365,216.9868642,3.414352514,-4.260035357,13.67115119,31.134113,1979,2,25,0,56,,0,0,0,0,0
2/26/1979,3.4335022,2.749548,19.849457,-0.7260749,3.8176,220.8044642,4.447938743,-1.678422786,12.05905747,29.145618,1979,2,26,0,57,,0,0,0,0,0
2/27/1979,5.017262,1.5623958,0.1777447,-0.5277711,3.8176,224.6220642,4.890506786,0.137028257,12.02394736,29.145618,1979,2,27,0,58,,0,0,0,0,0
2/28/1979,7.08343,-0.5975185,0,-0.57464425,3.8176,228.4396642,5.509553914,0.995803614,11.25794065,29.145618,1979,2,28,0,59,,0,0,0,0,0
3/1/1979,11.126579,2.35269,0.80831015,2.9220345,3.8176,232.2572642,5.975921114,1.649376614,11.31592215,29.145618,1979,3,1,0,60,,0,0,0,0,0
3/2/1979,13.054751,0.37624887,0.095732376,2.897899935,3.8176,236.0748642,7.070622886,1.858777539,11.26071489,29.145618,1979,3,2,0,61,,0,0,0,0,0
3/3/1979,8.67028,1.0296854,0,1.0323827,3.8176,239.8924642,7.619310886,1.648107224,7.097055175,28.748142,1979,3,3,0,62,,0,0,0,0,0
3/4/1979,12.236094,5.125757,0,4.8633255,4.8633255,244.7557897,8.660271171,1.79982951,2.990177747,19.849457,1979,3,4,0,63,,0,0,0,0,0
3/5/1979,14.919453,9.328663,17.379007,8.306458,8.306458,253.0622477,10.30112129,2.739703081,2.637256318,17.379007,1979,3,5,0,64,,0,0,0,0,0
3/6/1979,14.929254,11.377162,2.2527742,9.335608,9.335608,262.3978557,11.71712014,4.141812539,2.933689104,17.379007,1979,3,6,0,65,,0,0,0,0,0
3/7/1979,11.411423,5.3969684,0,4.5865957,4.5865957,266.9844514,12.33540486,4.99816781,2.933689104,17.379007,1979,3,7,0,66,,0,0,0,0,0
3/8/1979,12.561174,0.09659097,0,2.511282485,3.8176,270.8020514,12.540347,4.675867949,2.818216225,17.379007,1979,3,8,0,67,,0,0,0,0,0
3/9/1979,13.675044,2.6869342,0,4.3633891,3.8176,274.6196514,12.62896029,5.005965853,2.804540171,17.379007,1979,3,9,0,68,,0,0,0,0,0
3/10/1979,16.324764,8.7816105,1.5600659,8.73558725,8.73558725,283.3552386,13.722458,6.113383724,3.027406729,17.379007,1979,3,10,0,69,,0,0,0,0,0
3/11/1979,6.607393,1.935849,13.395183,0.454021,3.8176,287.1728386,12.91835786,5.657682581,4.9410043,17.379007,1979,3,11,0,70,,0,0,0,0,0
3/12/1979,6.317537,-1.4893616,0.27505505,-1.4035123,3.8176,290.9904386,11.68951271,4.112250496,2.497582593,13.395183,1979,3,12,0,71,,0,0,0,0,0
3/13/1979,10.689259,-2.712313,0,0.170873,3.8176,294.8080386,11.08379914,2.099468353,2.175757707,13.395183,1979,3,13,0,72,,0,0,0,0,0
3/14/1979,17.471193,12.899168,0.5263258,11.3675805,11.3675805,306.1756191,11.94948057,3.171211153,2.250947107,13.395183,1979,3,14,0,73,,0,0,0,0,0
3/15/1979,9.205739,-0.3748582,0.052912362,0.5978404,3.8176,309.9932191,11.47013271,3.103861271,2.258506016,13.395183,1979,3,15,0,74,,0,0,0,0,0
3/16/1979,5.283448,-5.4885902,0,-3.9201711,3.8176,313.8108191,10.27133329,1.935929214,2.258506016,13.395183,1979,3,16,0,75,,0,0,0,0,0
3/17/1979,8.534475,-3.3204422,0,-1.2105836,3.8176,317.6284191,9.158434857,0.207064543,2.035639459,13.395183,1979,3,17,0,76,,0,0,0,0,0
3/18/1979,18.08086,0.71857595,0,5.582117975,3.8176,321.4460191,10.79750157,0.033168393,0.122041887,0.5263258,1979,3,18,0,77,,0,0,0,0,0
3/19/1979,16.86693,2.1628246,0,5.6972773,3.8176,325.2636191,12.30455771,0.554909279,0.082748309,0.5263258,1979,3,19,0,78,,0,0,0,0,0
3/20/1979,14.313203,1.2856523,0,3.98182765,3.8176,329.0812191,12.822264,1.126047179,0.082748309,0.5263258,1979,3,20,0,79,,0,0,0,0,0
3/21/1979,15.960643,4.065441,0,6.195442,6.195442,335.2766611,12.60647114,-0.135913821,0.007558909,0.052912362,1979,3,21,0,80,,0,0,0,0,0
3/22/1979,17.800077,2.4996982,0.038359378,6.3322876,3.8176,339.0942611,13.83423371,0.274737093,0.005479911,0.038359378,1979,3,22,0,81,,0,0,0,0,0
3/23/1979,19.722301,4.4048047,0,8.24595285,8.24595285,347.340214,15.896927,1.688079221,0.005479911,0.038359378,1979,3,23,0,82,,0,0,0,0,0
3/24/1979,17.028093,13.077901,35.860855,11.235397,11.235397,358.575611,17.110301,4.030699679,5.128459197,35.860855,1979,3,24,0,83,,0,0,0,0,0
3/25/1979,12.00453,8.584049,3.249744,6.4766895,6.4766895,365.0523005,16.24225386,5.154338686,5.59270834,35.860855,1979,3,25,0,84,,0,0,0,0,0
3/26/1979,10.139447,6.2500114,0.541925,4.3771292,4.3771292,369.4294297,15.28118486,5.738222514,5.670126197,35.860855,1979,3,26,0,85,,0,0,0,0,0
3/27/1979,9.720048,0.48635197,0.037910733,1.285599985,3.8176,373.2470297,14.62501986,5.624036753,5.675542016,35.860855,1979,3,27,0,86,,0,0,0,0,0
3/28/1979,10.415573,-0.11968069,0,1.330346155,3.8176,377.0646297,13.832867,5.026162226,5.675542016,35.860855,1979,3,28,0,87,,0,0,0,0,0
3/29/1979,22.27206,6.571558,0.24358897,10.604209,10.604209,387.6688387,14.47172171,5.607856483,5.704860529,35.860855,1979,3,29,0,88,,0,0,0,0,0
3/30/1979,26.977106,10.899739,0,15.1208225,15.1208225,402.7896612,15.50812243,6.53570424,5.704860529,35.860855,1979,3,30,0,89,,0,0,0,0,0
3/31/1979,27.765697,17.24814,1.4052846,18.6893185,18.6893185,421.4789797,17.04206586,7.131452669,0.782636186,3.249744,1979,3,31,0,90,,0,0,0,0,0
4/1/1979,21.926487,14.323618,4.0113134,14.3074525,14.3074525,435.7864322,18.45948829,7.951391097,0.891431815,4.0113134,1979,4,1,0,91,,0,0,0,0,0
4/2/1979,12.773135,9.7762785,0.99475145,7.45710675,7.45710675,443.2435389,18.83572943,8.45514354,0.956121308,4.0113134,1979,4,2,1,92,Peak_Bloom,0,0,0,0,0
4/3/1979,13.7493515,11.690623,12.836298,8.90238725,8.90238725,452.1459262,19.41134421,10.05575369,2.784462346,12.836298,1979,4,3,0,93,,0,0,0,0,0
4/4/1979,9.188905,7.1116357,7.788347,4.33267035,4.33267035,456.4785965,19.23610593,11.08879889,3.897083346,12.836298,1979,4,4,0,94,,0,0,0,0,0
4/5/1979,14.976522,7.4432573,1.516979,7.39228965,7.39228965,463.8708862,18.19388621,11.21332736,4.078996207,12.836298,1979,4,5,0,95,,0,0,0,0,0
4/6/1979,13.556605,7.2598357,0,6.59062035,6.59062035,470.4615065,16.27667179,10.69334117,4.078996207,12.836298,1979,4,6,0,96,,0,0,0,0,0
4/7/1979,8.958235,1.9801387,0,1.65158685,3.8176,474.2791065,13.5898915,8.512198129,3.878241264,12.836298,1979,4,7,0,97,,0,0,0,0,0
4/8/1979,10.855851,2.9465926,0.053797662,3.0836218,3.8176,478.0967065,12.00837207,6.886908786,3.312881873,12.836298,1979,4,8,0,98,,0,0,0,0,0
4/9/1979,8.123798,6.005914,10.839453,3.247256,3.247256,481.3439625,11.34418107,6.348285286,4.719267809,12.836298,1979,4,9,0,99,,0,0,0,0,0
4/10/1979,12.865816,4.888063,1.8963006,5.0593395,5.0593395,486.403302,11.21796171,5.376491,3.156411037,10.839453,1979,4,10,0,100,,0,0,0,0,0
4/11/1979,17.856756,2.411273,0,6.3164145,3.8176,490.220902,12.45622614,4.705010614,2.043790037,10.839453,1979,4,11,0,101,,0,0,0,0,0
4/12/1979,18.0493,10.031588,0,10.222844,10.222844,500.443746,12.89519443,5.074772143,1.827078752,10.839453,1979,4,12,0,102,,0,0,0,0,0
4/13/1979,14.902839,10.493381,2.8082697,8.88051,8.88051,509.324256,13.08751357,5.536707186,2.228260137,10.839453,1979,4,13,0,103,,0,0,0,0,0
4/14/1979,13.067877,6.1522717,3.2678978,5.79247435,5.79247435,515.1167304,13.67460529,6.132726186,2.69510268,10.839453,1979,4,14,0,104,,0,0,0,0,0
4/15/1979,18.301075,5.8928723,1.3178558,8.27937365,8.27937365,523.396104,14.73820871,6.553623286,2.875682414,10.839453,1979,4,15,0,105,,0,0,0,0,0
4/16/1979,13.422359,7.5554004,0.020270236,6.6712797,6.6712797,530.0673837,15.495146,6.774978486,1.330084877,3.2678978,1979,4,16,0,106,,0,0,0,0,0
4/17/1979,13.90507,8.161039,0,7.2154545,7.2154545,537.2828382,15.64361086,7.242546486,1.059184791,3.2678978,1979,4,17,0,107,,0,0,0,0,0
4/18/1979,17.416132,7.4992156,0,8.6400738,8.6400738,545.922912,15.58066457,7.969395429,1.059184791,3.2678978,1979,4,18,0,108,,0,0,0,0,0
4/19/1979,18.121775,8.840849,0,9.663712,9.663712,555.586624,15.59101814,7.799289857,1.059184791,3.2678978,1979,4,19,0,109,,0,0,0,0,0
4/20/1979,18.011683,5.95955,0,8.1680165,8.1680165,563.7546405,16.03513871,7.151599714,0.658003405,3.2678978,1979,4,20,0,110,,0,0,0,0,0
4/21/1979,21.501717,7.2322836,0,10.5494003,10.5494003,574.3040408,17.239973,7.305887129,0.191160862,1.3178558,1979,4,21,0,111,,0,0,0,0,0
4/22/1979,23.002167,9.141785,0,12.254376,12.254376,586.5584168,17.91155757,7.770017514,0.002895748,0.020270236,1979,4,22,0,112,,0,0,0,0,0
4/23/1979,21.115475,16.924917,0.26938617,15.202596,15.202596,601.7610128,19.01057414,9.108519886,0.038483739,0.26938617,1979,4,23,0,113,,0,0,0,0,0
4/24/1979,18.272585,14.475575,0.6075609,12.55648,12.55648,614.3174928,19.63450486,10.01059646,0.125278153,0.6075609,1979,4,24,0,114,,0,0,0,0,0
4/25/1979,22.370808,15.185537,0.15981534,14.9605725,14.9605725,629.2780653,20.34231571,11.10864237,0.148108916,0.6075609,1979,4,25,0,115,,0,0,0,0,0
4/26/1979,18.32025,16.080013,2.87564,13.3825315,13.3825315,642.6605968,20.37066929,12.14280866,0.55891463,2.87564,1979,4,26,0,116,,0,0,0,0,0
4/27/1979,19.99896,16.24239,9.107429,14.303075,14.303075,656.9636718,20.654566,13.6117858,1.859975916,9.107429,1979,4,27,0,117,,0,0,0,0,0
4/28/1979,19.420752,10.140516,0.666877,10.963034,10.963034,667.9267058,20.35728529,14.02724757,1.955244059,9.107429,1979,4,28,0,118,,0,0,0,0,0
4/29/1979,16.36869,6.8509045,0.239833,7.79219725,7.79219725,675.7189031,19.40964571,13.69997893,1.989505916,9.107429,1979,4,29,0,119,,0,0,0,0,0
4/30/1979,18.391973,4.7761703,0,7.76647165,7.76647165,683.4853747,19.020574,11.96444369,1.951022177,9.107429,1979,4,30,0,120,,0,0,0,0,0
5/1/1979,19.91469,10.44278,0,11.361135,11.361135,694.8465097,19.25516043,11.38833011,1.864227763,9.107429,1979,5,1,0,121,,0,0,0,0,0
5/2/1979,20.464394,8.842584,0,10.835889,10.835889,705.6823987,18.98281557,10.48219397,1.841397,9.107429,1979,5,2,0,122,,0,0,0,0,0
5/3/1979,22.427109,10.751146,0.07249211,12.7715275,12.7715275,718.4539262,19.56950971,9.720927257,1.440947301,9.107429,1979,5,3,0,123,,0,0,0,0,0
5/4/1979,19.551792,15.012018,2.737863,13.464305,13.464305,731.9182312,19.50562857,9.545159829,0.531009301,2.737863,1979,5,4,0,124,,0,0,0,0,0
5/5/1979,16.109444,8.427496,3.7934337,8.45087,8.45087,740.3691012,19.03258457,9.300442686,0.977660259,3.7934337,1979,5,5,0,125,,0,0,0,0,0
5/6/1979,19.895311,6.536599,0.022233825,9.398355,9.398355,749.7674562,19.53638757,9.2555419,0.946574662,3.7934337,1979,5,6,0,126,,0,0,0,0,0
5/7/1979,24.900343,11.930626,0.029842025,14.5978845,14.5978845,764.3653407,20.46615471,10.277607,0.950837809,3.7934337,1979,5,7,0,127,,0,0,0,0,0
5/8/1979,27.479666,15.924126,0,17.884296,17.884296,782.2496367,21.54686557,11.06065643,0.950837809,3.7934337,1979,5,8,0,128,,0,0,0,0,0
5/9/1979,29.06575,19.641418,0,20.535984,20.535984,802.7856207,22.77563071,12.603347,0.950837809,3.7934337,1979,5,9,0,129,,0,0,0,0,0
5/10/1979,29.986656,19.930223,0,21.1408395,21.1408395,823.9264602,23.855566,13.91464371,0.940481793,3.7934337,1979,5,10,0,130,,0,0,0,0,0
5/11/1979,29.048512,20.69462,0.2786233,21.053966,21.053966,844.9804262,25.21224029,14.726444,0.589161836,3.7934337,1979,5,11,0,131,,0,0,0,0,0
5/12/1979,24.039787,20.32211,0.08255649,18.3633485,18.3633485,863.3437747,26.34514643,16.42567457,0.05903652,0.2786233,1979,5,12,0,132,,0,0,0,0,0
5/13/1979,23.194225,20.684204,21.742786,18.1216145,18.1216145,881.4653892,26.81641986,18.446761,3.161972545,21.742786,1979,5,13,0,133,,0,0,0,0,0
5/14/1979,22.153679,14.909382,7.071509,14.7139305,14.7139305,896.1793197,26.42403929,18.87229757,4.16792497,21.742786,1979,5,14,0,134,,0,0,0,0,0
5/15/1979,22.619131,12.392588,0.91923267,13.6882595,13.6882595,909.8675792,25.72967714,18.36779214,4.299243923,21.742786,1979,5,15,0,135,,0,0,0,0,0
5/16/1979,21.607548,12.6139345,1.6170187,13.29314125,13.29314125,923.1607205,24.66421971,17.36386593,4.530246594,21.742786,1979,5,16,0,136,,0,0,0,0,0
5/17/1979,21.170328,12.4585905,0,12.99685925,12.99685925,936.1575797,23.40474429,16.29648986,4.530246594,21.742786,1979,5,17,0,137,,0,0,0,0,0
5/18/1979,21.88408,11.174557,0.8014008,12.7117185,12.7117185,948.8692982,22.381254,14.93648086,4.604929094,21.742786,1979,5,18,0,138,,0,0,0,0,0
5/19/1979,21.560488,16.223993,5.502512,15.0746405,15.0746405,963.9439387,22.02706843,14.35103557,5.379208453,21.742786,1979,5,19,0,139,,0,0,0,0,0
5/20/1979,21.704802,16.027603,2.0710175,15.0486025,15.0486025,978.9925412,21.81429371,13.68580686,2.56895581,7.071509,1979,5,20,0,140,,0,0,0,0,0
5/21/1979,21.764765,15.606936,0.15021124,14.8682505,14.8682505,993.8607917,21.75873457,13.78545743,1.580198987,5.502512,1979,5,21,0,141,,0,0,0,0,0
5/22/1979,22.324396,15.509621,0.11714075,15.0994085,15.0994085,1008.9602,21.71662957,14.23074786,1.465614427,5.502512,1979,5,22,0,142,,0,0,0,0,0
5/23/1979,23.916191,18.900013,7.9664736,17.590502,17.590502,1026.550702,22.04643571,15.12875907,2.372679413,7.9664736,1979,5,23,0,143,,0,0,0,0,0
5/24/1979,23.96632,20.627481,9.419107,18.4793005,18.4793005,1045.030003,22.44586314,16.29574343,3.718266127,9.419107,1979,5,24,0,144,,0,0,0,0,0
5/25/1979,21.619123,17.454794,7.250921,15.7193585,15.7193585,1060.749361,22.40801214,17.19292014,4.639626156,9.419107,1979,5,25,0,145,,0,0,0,0,0
5/26/1979,14.9531,10.070315,1.2459933,8.6941075,8.6941075,1069.443469,21.46409957,16.31382329,4.031552056,9.419107,1979,5,26,0,146,,0,0,0,0,0
5/27/1979,20.282103,9.036794,0.13379554,10.8418485,10.8418485,1080.285317,21.26085686,15.31513629,3.754806061,9.419107,1979,5,27,0,147,,0,0,0,0,0
5/28/1979,20.678734,13.728121,1.8706411,13.3858275,13.3858275,1093.671145,21.10570957,15.04673414,4.000581756,9.419107,1979,5,28,0,148,,0,0,0,0,0
5/29/1979,23.60317,10.87798,1.1553761,13.422975,13.422975,1107.09412,21.28839157,14.38507114,4.148901091,9.419107,1979,5,29,0,149,,0,0,0,0,0
5/30/1979,25.415552,11.878042,0.50389063,14.829197,14.829197,1121.923317,21.502586,13.38193243,3.08281781,9.419107,1979,5,30,0,150,,0,0,0,0,0
5/31/1979,21.972689,16.871113,4.477611,15.604301,15.604301,1137.527618,21.21778157,12.84530843,2.37688981,7.250921,1979,5,31,0,151,,0,0,0,0,0
6/1/1979,27.685064,21.361671,25.089222,20.7057675,20.7057675,1158.233385,22.08434457,13.40343371,4.925218524,25.089222,1979,6,1,0,152,,0,0,0,0,0
6/2/1979,28.070356,21.240492,3.3405857,20.837824,20.837824,1179.071209,23.95823829,14.99917329,5.22444601,25.089222,1979,6,2,0,153,,0,0,0,0,0
6/3/1979,20.8222,19.530977,37.466366,16.3589885,16.3589885,1195.430198,24.035395,16.49834229,10.55767036,37.466366,1979,6,3,0,154,,0,0,0,0,0
6/4/1979,21.639275,16.378296,9.432676,15.1911855,15.1911855,1210.621383,24.17261514,16.87693871,11.63796106,37.466366,1979,6,4,0,155,,0,0,0,0,0
6/5/1979,26.743914,14.429365,0.19911048,16.7690395,16.7690395,1227.390423,24.62129286,17.38427943,11.50135169,37.466366,1979,6,5,0,156,,0,0,0,0,0
6/6/1979,27.979673,18.380285,0,19.362379,19.362379,1246.752802,24.98759586,18.31317129,11.42936731,37.466366,1979,6,6,0,157,,0,0,0,0,0
6/7/1979,29.86109,20.642181,0.16219245,21.4340355,21.4340355,1268.186837,26.11451029,18.85189529,10.81287895,37.466366,1979,6,7,0,158,,0,0,0,0,0
6/8/1979,27.447287,21.818842,0,20.8154645,20.8154645,1289.002302,26.08054214,18.91720543,7.228704376,37.466366,1979,6,8,0,159,,0,0,0,0,0
6/9/1979,29.212534,21.482164,0.10681225,21.529749,21.529749,1310.532051,26.24371043,18.95173,6.76673674,37.466366,1979,6,9,0,160,,0,0,0,0,0
6/10/1979,29.892223,21.523064,2.5795627,21.8900435,21.8900435,1332.422094,27.539428,19.23631386,1.782907697,9.432676,1979,6,10,0,161,,0,0,0,0,0
