Date,Tmax,Tmin,precip,GDD_Formula,GDD,AGDD,Tmax_7days_Avg,Tmin_7days_Avg,Prcp_7days_Avg,Prcp_7days_Max,Year,Month,Day,Peak,DOY
1/17/1979,-5.1216283,-10.280348,0.13119654,-12.20098815,4.5,76.5,-4.060381686,-7.935507114,1.333150899,4.857063,1979,1,17,0,17
1/18/1979,-5.5130067,-8.819378,0.40908056,-11.66619235,4.5,81,-4.727856357,-8.7419546,0.697724836,1.9737232,1979,1,18,0,18
1/19/1979,-4.1112103,-8.97732,0.27918047,-11.04426515,4.5,85.5,-5.007808814,-9.463640929,0.463348646,1.9737232,1979,1,19,0,19
1/20/1979,-0.30588028,-5.291422,5.770303,-7.29865114,4.5,90,-4.566910797,-9.480430929,1.005717189,5.770303,1979,1,20,0,20
1/21/1979,-0.5970248,-2.4244485,0.36163616,-6.01073665,4.5,94.5,-4.175381697,-8.782228571,0.993056676,5.770303,1979,1,21,0,21
1/22/1979,-0.030242532,-2.5343523,0,-5.782297416,4.5,99,-3.291870345,-7.405082257,0.993056676,5.770303,1979,1,22,0,22
1/23/1979,3.702299,-1.8016831,4.3927603,-3.54969205,4.5,103.5,-1.710956273,-5.732707414,1.620593861,5.770303,1979,1,23,0,23
1/24/1979,3.5742228,0.5028707,0.7086945,-2.46145325,4.5,108,-0.46869183,-4.1922476,1.70309357,5.770303,1979,1,24,0,24
1/25/1979,-0.8087278,-6.4772596,0.05205826,-8.1429937,4.5,112.5,0.203348013,-3.857659257,1.652090384,5.770303,1979,1,25,0,25
1/26/1979,-1.1960373,-6.802228,4.529901,-8.49913265,4.5,117,0.619801298,-3.546931829,2.259336174,5.770303,1979,1,26,0,26
1/27/1979,-0.31003064,-2.1692762,27.49017,-5.73965342,4.5,121.5,0.61920839,-3.100911,5.362174317,27.49017,1979,1,27,0,27
1/28/1979,-0.08471736,-1.3501459,32.557014,-5.21743163,4.5,126,0.692395167,-2.9474392,9.961514009,32.557014,1979,1,28,0,28
1/29/1979,1.2539592,-2.743641,0.83512,-5.2448409,4.5,130.5,0.875852557,-2.977337586,10.08081687,32.557014,1979,1,29,0,29
1/30/1979,1.3496846,-2.1518793,2.9275048,-4.90109735,4.5,135,0.539764786,-3.027365614,9.871494651,32.557014,1979,1,30,0,30
1/31/1979,-0.8799321,-2.8966265,2.3335676,-6.3882793,4.5,139.5,-0.096543057,-3.513008071,10.10361938,32.557014,1979,1,31,0,31
2/1/1979,1.1021281,-7.988746,0,-7.94330895,4.5,144,0.176436357,-3.7289347,10.09618249,32.557014,1979,2,1,0,32
2/2/1979,6.8810434,-0.6312129,4.3910003,-1.37508475,4.5,148.5,1.330305029,-2.847361114,10.07633953,32.557014,1979,2,2,0,33
2/3/1979,2.5057974,-0.40991938,4.3385544,-3.45206099,4.5,153,1.732566177,-2.596024426,6.768965871,32.557014,1979,2,3,0,34
2/4/1979,4.0538845,-0.5289166,0.601046,-2.73751605,4.5,157.5,2.323795014,-2.478705954,2.203827586,4.3910003,1979,2,4,0,35
2/5/1979,5.3378935,1.7217615,14.035637,-0.9701725,4.5,162,2.9072142,-1.840791311,4.089615729,14.035637,1979,2,5,0,36
2/6/1979,-0.2167923,-1.0383742,2.2084277,-5.12758325,4.5,166.5,2.683431786,-1.681719154,3.986890429,14.035637,1979,2,6,0,37
2/7/1979,4.5780187,-1.4422624,9.017104,-2.93212185,4.5,171,3.463139043,-1.473952854,4.941681343,14.035637,1979,2,7,0,38
2/8/1979,5.8476124,3.0143576,7.6261497,-0.069015,4.5,175.5,4.141065371,0.097919089,6.0311313,14.035637,1979,2,8,0,39
2/9/1979,4.958564,-1.4248946,6.279948,-2.7331653,4.5,180,3.866425457,-0.015464011,6.300980971,14.035637,1979,2,9,0,40
2/10/1979,1.8439963,0.5994118,18.528652,-3.27829595,4.5,184.5,3.771882443,0.128726157,8.328137771,18.528652,1979,2,10,0,41
2/11/1979,1.0269336,-0.019913444,4.964273,-3.996489922,4.5,189,3.339460886,0.201440894,8.951455914,18.528652,1979,2,11,0,42
2/12/1979,8.723431,0.090020925,3.8497405,-0.093274038,4.5,193.5,3.8231091,-0.031664903,7.496327843,18.528652,1979,2,12,0,43
2/13/1979,8.08278,0.5933747,0.02603389,-0.16192265,4.5,198,5.008762286,0.201442083,7.184557299,18.528652,1979,2,13,0,44
2/14/1979,5.989218,2.2615507,2.0204768,-0.37461565,4.5,202.5,5.210362186,0.73055824,6.185039127,18.528652,1979,2,14,0,45
2/15/1979,5.845956,-2.2246985,0.18870258,-2.68937125,4.5,207,5.210125557,-0.017878346,5.122546681,18.528652,1979,2,15,0,46
2/16/1979,-0.9774632,-2.4807374,0.22502437,-6.2291003,4.5,211.5,4.362121671,-0.168713031,4.257557591,18.528652,1979,2,16,0,47
2/17/1979,-2.0192287,-3.6331108,0.3241425,-7.32616975,4.5,216,3.810232386,-0.773359117,1.656913377,4.964273,1979,2,17,0,48
2/18/1979,-1.4778714,-3.2710824,0.070880145,-6.8744769,4.5,220.5,3.4524031,-1.237811825,0.957857255,3.8497405,1979,2,18,0,49
2/19/1979,-0.12591699,-2.8934038,0.26187056,-6.009660395,4.5,225,2.18821053,-1.664015357,0.445304406,2.0204768,1979,2,19,0,50
2/20/1979,0.41115838,-2.9492624,0.08332819,-5.76905201,4.5,229.5,1.092264584,-2.170106371,0.453489306,2.0204768,1979,2,20,0,51
2/21/1979,1.9685163,-1.6185197,0,-4.3250017,4.5,234,0.517878627,-2.724402143,0.164849764,0.3241425,1979,2,21,0,52
2/22/1979,0.6053314,-2.3576074,0,-5.376138,4.5,238.5,-0.23078203,-2.743389129,0.137892252,0.3241425,1979,2,22,0,53
2/23/1979,-1.2869842,-3.129382,2.5875852,-6.7081831,4.5,243,-0.274999316,-2.836052643,0.475400942,2.5875852,1979,2,23,0,54
2/24/1979,0.4584834,-5.2709637,0.19946161,-6.90624015,4.5,247.5,0.078959556,-3.070031629,0.457589386,2.5875852,1979,2,24,0,55
2/25/1979,0.18829183,-4.0643487,0,-6.438028435,4.5,252,0.316982874,-3.183355386,0.447463651,2.5875852,1979,2,25,0,56
2/26/1979,0.06529852,-7.089757,0,-8.01222924,4.5,256.5,0.344299376,-3.782834414,0.410053571,2.5875852,1979,2,26,0,57
2/27/1979,1.3859947,-7.5893517,0,-7.6016785,4.5,261,0.483561707,-4.445704314,0.398149544,2.5875852,1979,2,27,0,58
2/28/1979,3.7586348,-7.034354,0,-6.1378596,4.5,265.5,0.739292921,-5.219394929,0.398149544,2.5875852,1979,2,28,0,59
3/1/1979,2.1044016,-1.2895477,1.057102,-4.09257305,4.5,270,0.953445807,-5.066814971,0.549164116,2.5875852,1979,3,1,0,60
3/2/1979,5.3687363,-4.958603,0,-4.29493335,4.5,274.5,1.904263021,-5.328132257,0.179509087,1.057102,1979,3,2,0,61
3/3/1979,7.399771,-0.018165812,0.13564923,-0.809197406,4.5,279,2.895875536,-4.577732559,0.170393033,1.057102,1979,3,3,0,62
3/4/1979,7.570129,3.7636776,0.17776889,1.1669033,4.5,283.5,3.950423703,-3.459443087,0.195788589,1.057102,1979,3,4,0,63
3/5/1979,6.5230956,4.0370164,4.4915013,0.780056,4.5,288,4.872966143,-1.86990403,0.837431631,4.4915013,1979,3,5,0,64
3/6/1979,7.883151,1.5875582,0.5070725,0.2353546,4.5,292.5,5.801131329,-0.558916902,0.90987056,4.4915013,1979,3,6,0,65
3/7/1979,5.569466,1.3251315,0.8569106,-1.05270125,4.5,297,6.0598215,0.635295313,1.03228636,4.4915013,1979,3,7,0,66
3/8/1979,4.903425,-0.5652277,0.42751938,-2.33090135,4.5,301.5,6.459681986,0.738769598,0.942345986,4.4915013,1979,3,8,0,67
3/9/1979,6.938772,-4.3476315,0,-3.20442975,4.5,306,6.6839728,0.826051241,0.942345986,4.4915013,1979,3,9,0,68
3/10/1979,3.3609211,-0.07468517,4.878138,-2.856882035,4.5,310.5,6.106994243,0.817977047,1.619844381,4.878138,1979,3,10,0,69
3/11/1979,9.02893,-0.972765,14.793353,-0.4719175,4.5,315,6.315394386,0.14134239,3.707784969,14.793353,1979,3,11,0,70
3/12/1979,9.747275,6.6497316,9.59008,3.6985033,3.6985033,318.6985033,6.775991443,0.514587419,4.436153354,14.793353,1979,3,12,0,71
3/13/1979,11.395716,6.472753,1.2514099,4.4342345,4.4342345,323.1327378,7.277786443,1.21247239,4.542487269,14.793353,1979,3,13,0,72
3/14/1979,10.663818,2.0583878,1.5141108,1.8611029,4.5,327.6327378,8.005551014,1.31722329,4.636373011,14.793353,1979,3,14,0,73
3/15/1979,8.957057,3.5249078,0.24024995,1.7409824,4.5,332.1327378,8.5846413,1.901528361,4.609620236,14.793353,1979,3,15,0,74
3/16/1979,3.6054475,0.59769875,12.722155,-2.398426875,4.5,336.6327378,8.108452086,2.608004111,6.42707095,14.793353,1979,3,16,0,75
3/17/1979,4.717414,-3.076823,0.9311611,-3.6797045,4.5,341.1327378,8.302236786,2.179127279,5.863217107,14.793353,1979,3,17,0,76
3/18/1979,6.1375012,-0.6025166,1.4920089,-1.7325077,4.5,345.6327378,7.889175529,2.232019907,3.963025093,12.722155,1979,3,18,0,77
3/19/1979,5.9868345,-2.3967445,0.19471861,-2.704955,4.5,350.1327378,7.351969743,0.939666179,2.620830609,12.722155,1979,3,19,0,78
3/20/1979,5.807026,0.6423349,0.93484515,-1.27531955,4.5,354.6327378,6.553585457,0.106749307,2.575607073,12.722155,1979,3,20,0,79
3/21/1979,6.5822678,-1.8195175,0.3731745,-2.11862485,4.5,359.1327378,5.970506857,-0.447237164,2.412616173,12.722155,1979,3,21,0,80
3/22/1979,6.333857,-0.16503097,2.6964726,-1.415586985,4.5,363.6327378,5.595764,-0.974371274,2.763505123,12.722155,1979,3,22,0,81
3/23/1979,5.080566,0.77126765,4.929001,-1.574083175,4.5,368.1327378,5.806495214,-0.949575717,1.650197409,4.929001,1979,3,23,0,82
3/24/1979,7.9165897,0.18256772,2.5614655,-0.45042129,4.5,372.6327378,6.263520314,-0.483948471,1.883098037,4.929001,1979,3,24,0,83
3/25/1979,7.5853724,0.99979335,5.093894,-0.207417125,4.5,377.1327378,6.470359057,-0.25504705,2.397653051,5.093894,1979,3,25,0,84
3/26/1979,12.596368,5.609904,11.949548,4.603136,4.603136,381.7358738,7.414578129,0.888759879,4.076914393,11.949548,1979,3,26,0,85
3/27/1979,8.716595,1.4103386,0.97605723,0.5634668,4.5,386.2358738,7.830230843,0.998474693,4.082801833,11.949548,1979,3,27,0,86
3/28/1979,5.6793647,4.281187,4.658084,0.48027585,4.5,390.7358738,7.701244686,1.870003907,4.694931761,11.949548,1979,3,28,0,87
3/29/1979,2.428144,0.374831,1.9197668,-3.0985125,4.5,395.2358738,7.143285686,1.947127046,4.58397379,11.949548,1979,3,29,0,88
3/30/1979,2.7301383,-0.16666664,1.9883881,-3.21826417,4.5,399.7358738,6.8075103,1.813136433,4.163886233,11.949548,1979,3,30,0,89
3/31/1979,2.4591389,-0.21156166,2.6601508,-3.37621138,4.5,404.2358738,6.027874471,1.756832236,4.177984133,11.949548,1979,3,31,0,90
4/1/1979,6.047568,-1.5614653,0.27329534,-2.25694865,4.5,408.7358738,5.808188129,1.390938143,3.489327181,11.949548,1979,4,1,0,91
4/2/1979,7.943869,1.9485716,0.37292978,0.4462203,4.5,413.2358738,5.143545414,0.867890657,1.835524579,4.658084,1979,4,2,0,92
4/3/1979,6.374164,0.55496484,3.4811363,-1.03543558,4.5,417.7358738,4.808912414,0.745694406,2.193393017,4.658084,1979,4,3,0,93
4/4/1979,6.242067,-1.9942361,2.2114663,-2.37608455,4.5,422.2358738,4.889298457,-0.150794609,1.843876203,3.4811363,1979,4,4,0,94
4/5/1979,2.4764774,-3.2799554,3.1940732,-4.901739,4.5,426.7358738,4.896203229,-0.672906951,2.025919974,3.4811363,1979,4,5,0,95
4/6/1979,2.2478511,-2.793689,1.6708362,-4.77291895,4.5,431.2358738,4.827305057,-1.04819586,1.980555417,3.4811363,1979,4,6,0,96
4/7/1979,4.3626757,-2.9227626,0.6960649,-3.78004345,4.5,435.7358738,5.099238886,-1.43551028,1.699971717,3.4811363,1979,4,7,0,97
4/8/1979,9.690657,-4.31873,0.034116093,-1.8140365,4.5,440.2358738,5.619680171,-1.829405237,1.665803253,3.4811363,1979,4,8,0,98
4/9/1979,13.575466,0.09398056,0,2.33472328,4.5,444.7358738,6.424194029,-2.094346814,1.61252757,3.4811363,1979,4,9,0,99
4/10/1979,15.913592,3.605658,0,5.259625,4.5,449.2358738,7.786969457,-1.658533506,1.115222385,3.1940732,1979,4,10,0,100
4/11/1979,10.507767,4.022318,2.6271107,2.7650425,4.5,453.7358738,8.396355171,-0.799025777,1.174600156,3.1940732,1979,4,11,0,101
4/12/1979,11.500306,4.8651896,2.6538386,3.6827478,3.6827478,457.4186216,9.685473543,0.364566366,1.097423785,2.6538386,1979,4,12,0,102
4/13/1979,14.258077,1.0155005,0.03156191,3.13678875,4.5,461.9186216,11.4012201,0.908736294,0.863241743,2.6538386,1979,4,13,0,103
4/14/1979,15.488902,1.6662629,0.10694079,4.07758245,4.5,466.4186216,12.990681,1.564311366,0.779081156,2.6538386,1979,4,14,0,104
4/15/1979,16.373615,4.893764,0.055942167,6.1336895,6.1336895,472.5523111,13.94538929,2.880381937,0.782199167,2.6538386,1979,4,15,1,105
4/16/1979,15.652201,2.9499567,6.060341,4.80107885,4.5,477.0523111,14.24206571,3.288378529,1.647962167,6.060341,1979,4,16,0,106
4/17/1979,6.2549567,0.68623674,5.4676247,-1.02940328,4.5,481.5523111,12.86226067,2.871318349,2.42905141,6.060341,1979,4,17,0,107
4/18/1979,3.0499766,1.025505,0.66241777,-2.4622592,4.5,486.0523111,11.79686204,2.443202206,2.148380991,6.060341,1979,4,18,0,108
4/19/1979,6.717663,-1.6567963,0.037193418,-1.96956665,4.5,490.5523111,11.11362733,1.511489934,1.774574536,6.060341,1979,4,19,0,109
4/20/1979,10.12286,-2.907537,0.31201506,-0.8923385,4.5,495.0523111,10.52288204,0.951056006,1.814639272,6.060341,1979,4,20,0,110
4/21/1979,7.1779685,2.9151003,2.9056292,0.5465344,4.5,499.5523111,9.335605829,1.129461349,2.214451902,6.060341,1979,4,21,0,111
4/22/1979,11.343352,1.165142,0.043365426,1.754247,4.5,504.0523111,8.616996829,0.596801063,2.212655225,6.060341,1979,4,22,0,112
4/23/1979,9.48419,6.035037,1.7154907,3.2596135,3.2596135,507.3119246,7.7358524,1.03752682,1.591962325,5.4676247,1979,4,23,0,113
4/24/1979,9.131114,3.6036205,9.118824,1.86736725,4.5,511.8119246,8.146732014,1.454295929,2.113562225,9.118824,1979,4,24,0,114
4/25/1979,7.3146,1.3805797,4.2054873,-0.15241015,4.5,516.3119246,8.755963929,1.505020886,2.619715015,9.118824,1979,4,25,0,115
4/26/1979,7.175578,1.1417288,2.018828,-0.3413466,4.5,520.8119246,8.821380357,1.904810186,2.902805669,9.118824,1979,4,26,0,116
4/27/1979,4.434648,1.5871706,9.717872,-1.4890907,4.5,525.3119246,8.008778643,2.546911271,4.246499518,9.717872,1979,4,27,0,117
4/28/1979,6.647685,1.1751977,1.1327206,-0.58855865,4.5,529.8119246,7.933023857,2.298353757,3.993226861,9.717872,1979,4,28,0,118
4/29/1979,10.276871,-1.5210594,0.026587348,-0.1220942,4.5,534.3119246,7.780669429,1.9146107,3.990829993,9.717872,1979,4,29,0,119
4/30/1979,8.068548,3.546416,2.0652719,1.307482,4.5,538.8119246,7.578434857,1.559093414,4.040798735,9.717872,1979,4,30,0,120
5/1/1979,6.7254915,1.818338,5.751665,-0.22808525,4.5,543.3119246,7.2347745,1.304053057,3.559776021,9.717872,1979,5,1,0,121
5/2/1979,4.574452,1.960792,11.644373,-1.232378,4.5,547.8119246,6.843324786,1.386940529,4.622473978,11.644373,1979,5,2,0,122
5/3/1979,5.4170074,-3.867816,1.5776058,-3.7254043,4.5,552.3119246,6.592100414,0.671291271,4.559442235,11.644373,1979,5,3,0,123
5/4/1979,3.1452532,-1.1844069,2.5343971,-3.51957685,4.5,556.8119246,6.407901157,0.275351629,3.533231535,11.644373,1979,5,4,0,124
5/5/1979,4.7205834,-4.3996897,1.6332363,-4.33955315,4.5,561.3119246,6.132600929,-0.521060857,3.604733778,11.644373,1979,5,5,0,125
5/6/1979,8.156256,-2.7595828,0.23004122,-1.8016634,4.5,565.8119246,5.829655929,-0.697992771,3.633798617,11.644373,1979,5,6,0,126
5/7/1979,10.522112,-2.6585832,0.09906689,-0.5682356,4.5,570.3119246,6.180165071,-1.584421229,3.352912187,11.644373,1979,5,7,0,127
5/8/1979,14.38674,-1.2650013,0,2.06086935,4.5,574.8119246,7.274629143,-2.024898271,2.531245759,11.644373,1979,5,8,0,128
5/9/1979,16.320345,2.0539787,0,4.68716185,4.5,579.3119246,8.952613857,-2.011585886,0.867763901,2.5343971,1979,5,9,0,129
5/10/1979,14.618321,5.431201,0.38585508,5.524761,5.524761,584.8366856,10.26708723,-0.683154886,0.697513799,2.5343971,1979,5,10,0,130
5/11/1979,12.734112,2.5385737,2.3551974,3.13634285,4.5,589.3366856,11.6369242,-0.151300514,0.671913841,2.3551974,1979,5,11,0,131
5/12/1979,15.253672,8.271935,5.542488,7.2628035,7.2628035,596.5994891,13.14165114,1.658931586,1.23037837,5.542488,1979,5,12,0,132
5/13/1979,16.269188,5.446623,0,6.3579055,6.3579055,602.9573946,14.30064143,2.8312467,1.197515339,5.542488,1979,5,13,0,133
5/14/1979,19.197933,5.920711,0,8.059322,8.059322,611.0167166,15.54004443,4.056860157,1.183362926,5.542488,1979,5,14,0,134
5/15/1979,20.45961,5.481272,0,8.470441,8.470441,619.4871576,16.40759729,5.020613486,1.183362926,5.542488,1979,5,15,0,135
5/16/1979,21.87715,8.277897,0,10.5775235,10.5775235,630.0646811,17.20142657,5.909744671,1.183362926,5.542488,1979,5,16,0,136
5/17/1979,15.081161,10.253952,0.5573554,8.1675565,8.1675565,638.2322376,17.26754657,6.5987091,1.207862971,5.542488,1979,5,17,0,137
5/18/1979,17.192505,8.30602,0.53351355,8.2492625,8.2492625,646.4815001,17.90445986,7.42263,0.947622421,5.542488,1979,5,18,0,138
5/19/1979,15.558735,8.380727,0.6633657,7.469731,7.469731,653.9512311,17.94804029,7.438171714,0.25060495,0.6633657,1979,5,19,0,139
5/20/1979,17.253277,10.276286,1.2539713,9.2647815,9.2647815,663.2160126,18.08862443,8.128123571,0.429743707,1.2539713,1979,5,20,0,140
5/21/1979,16.876015,3.6829078,0.55072224,5.7794614,4.5,667.7160126,17.75692186,7.8084374,0.508418313,1.2539713,1979,5,21,0,141
5/22/1979,15.803806,9.249279,2.5635703,8.0265425,8.0265425,675.7425551,17.091807,8.346724114,0.874642641,2.5635703,1979,5,22,0,142
5/23/1979,21.405792,8.865679,0.059061684,10.6357355,10.6357355,686.3782906,17.02447014,8.430692971,0.883080025,2.5635703,1979,5,23,0,143
5/24/1979,9.964442,8.545294,9.522184,4.754868,4.754868,691.1331586,16.29351029,8.186598971,2.163769825,9.522184,1979,5,24,0,144
5/25/1979,14.927394,5.1553535,4.473199,5.54137375,5.54137375,696.6745324,15.969923,7.736503757,2.726582032,9.522184,1979,5,25,0,145
5/26/1979,18.929415,8.374164,0.4870425,9.1517895,9.1517895,705.8263219,16.45144871,7.735566186,2.701393003,9.522184,1979,5,26,0,146
5/27/1979,12.811033,9.929061,8.290242,6.870047,6.870047,712.6963689,15.81684243,7.685962614,3.706574532,9.522184,1979,5,27,0,147
5/28/1979,20.148705,4.6077332,2.3391824,7.8782191,7.8782191,720.574588,16.28436957,7.818080529,3.962068841,9.522184,1979,5,28,0,148
5/29/1979,24.862207,10.177019,0,13.019613,13.019613,733.594201,17.57842686,7.950614814,3.595844512,9.522184,1979,5,29,0,149
5/30/1979,24.538704,11.572505,0.34108177,13.5556045,13.5556045,747.1498055,18.02598571,8.337304243,3.636133096,9.522184,1979,5,30,0,150
5/31/1979,25.208494,11.367413,0.3257011,13.7879535,13.7879535,760.937759,20.20370743,8.7404641,2.322349824,8.290242,1979,5,31,0,151
6/1/1979,22.314817,14.176055,9.407019,13.745436,13.745436,774.683195,21.25905357,10.02913574,3.027181253,9.407019,1979,6,1,0,152
6/2/1979,21.358032,13.877609,1.7740433,13.1178205,13.1178205,787.8010155,21.60599886,10.81534217,3.21103851,9.407019,1979,6,2,0,153
6/3/1979,22.664967,13.103672,0.49875298,13.3843195,13.3843195,801.185335,23.01370371,11.26885803,2.09796865,9.407019,1979,6,3,0,154
6/4/1979,23.52193,12.562217,0.5675134,13.5420735,13.5420735,814.7274085,23.495593,12.40521286,1.844873079,9.407019,1979,6,4,0,155
6/5/1979,19.937914,13.201402,3.6512122,12.069658,12.069658,826.7970665,22.79212257,12.83726757,2.366474821,9.407019,1979,6,5,0,156
6/6/1979,15.789773,12.463993,3.501421,9.626883,9.626883,836.4239495,21.54227529,12.964623,2.817951854,9.407019,1979,6,6,0,157
6/7/1979,15.70067,10.820198,6.5288706,8.760434,8.760434,845.1843835,20.18401471,12.88644943,3.704118926,9.407019,1979,6,7,0,158
6/8/1979,17.586868,8.271895,0.03291689,8.4293815,8.4293815,853.613765,19.50859343,12.042998,2.364961481,6.5288706,1979,6,8,0,159
6/9/1979,20.944477,6.908777,0,9.426627,9.426627,863.040392,19.44951414,11.04745057,2.111526724,6.5288706,1979,6,9,0,160
6/10/1979,21.917097,10.506518,2.136211,11.7118075,11.7118075,874.7521995,19.34267557,10.67642857,2.345449299,6.5288706,1979,6,10,0,161
6/11/1979,21.926838,11.667512,4.6796412,12.297175,12.297175,887.0493745,19.11480529,10.54861357,2.932896127,6.5288706,1979,6,11,0,162
6/12/1979,22.953402,10.79183,0.51243556,12.372616,12.372616,899.4219905,19.54558929,10.204389,2.484499464,6.5288706,1979,6,12,0,163
6/13/1979,18.719418,12.481686,0.19145991,11.100552,11.100552,910.5225425,19.96411,10.20691657,2.01164788,6.5288706,1979,6,13,0,164
6/14/1979,16.164322,8.762409,2.4252923,7.9633655,7.9633655,918.485908,20.030346,9.912946714,1.425422409,4.6796412,1979,6,14,0,165
6/15/1979,12.333536,8.751087,4.1202655,6.0423115,6.0423115,924.5282195,19.27987,9.981402714,2.009329353,4.6796412,1979,6,15,0,166
6/16/1979,11.509566,4.143483,2.4560351,3.3265245,4.5,929.0282195,17.93202557,9.586360714,2.36019151,4.6796412,1979,6,16,0,167
6/17/1979,12.5247965,7.3818264,11.459986,5.45331145,5.45331145,934.4815309,16.59026836,9.1399762,3.692159367,11.459986,1979,6,17,0,168
6/18/1979,14.145912,7.124887,2.4437263,6.1353995,6.1353995,940.6169304,15.4787075,8.491029771,3.372742953,11.459986,1979,6,18,0,169
6/19/1979,15.352479,6.5446925,1.495647,6.44858575,6.44858575,947.0655162,14.39286136,7.884295843,3.51320173,11.459986,1979,6,19,0,170
6/20/1979,19.490389,8.189145,0.72980905,9.339767,9.339767,956.4052832,14.50300007,7.2710757,3.59010875,11.459986,1979,6,20,0,171
6/21/1979,21.644314,9.744099,0.17798704,11.1942065,11.1942065,967.5994897,15.28585607,7.411317129,3.269065141,11.459986,1979,6,21,0,172
6/22/1979,16.55684,11.905396,4.9262085,9.731118,9.731118,977.3306077,15.88918521,7.8619327,3.384199856,11.459986,1979,6,22,0,173
6/23/1979,20.827553,8.857865,0.11210362,10.342709,10.342709,987.6733167,17.22032621,8.535415843,3.049352501,11.459986,1979,6,23,0,174
6/24/1979,19.672535,11.11423,5.0106397,10.8933825,10.8933825,998.5666992,18.24143171,9.068616357,2.128017316,5.0106397,1979,6,24,0,175
6/25/1979,18.80527,11.182062,2.099622,10.493666,10.493666,1009.060365,18.90705429,9.648212786,2.078859559,5.0106397,1979,6,25,0,176
6/26/1979,22.766958,10.84222,0,12.304589,12.304589,1021.364954,19.96626557,10.26214529,1.865195701,5.0106397,1979,6,26,0,177
6/27/1979,17.314186,11.786504,6.639646,10.050345,10.050345,1031.415299,19.65537943,10.77605371,2.709458123,6.639646,1979,6,27,0,178
6/28/1979,20.477604,13.195128,2.8443754,12.336366,12.336366,1043.751665,19.48870657,11.26905786,3.090370746,6.639646,1979,6,28,0,179
6/29/1979,21.25898,10.297193,0,11.2780865,11.2780865,1055.029752,20.16044086,11.03931457,2.386626674,6.639646,1979,6,29,0,180
6/30/1979,17.569328,12.276762,0,10.423045,10.423045,1065.452797,19.69498014,11.52772843,2.370611871,6.639646,1979,6,30,0,181
7/1/1979,15.476606,10.074986,0,8.275796,8.275796,1073.728593,19.09556171,11.379265,1.6548062,6.639646,1979,7,1,0,182
7/2/1979,13.855416,8.565919,0.21007764,6.7106675,6.7106675,1080.43926,18.38843971,11.00553029,1.384871291,6.639646,1979,7,2,0,183
7/3/1979,10.695297,5.524253,2.0866752,3.609775,3.609775,1084.049035,16.66391671,10.24582071,1.682967749,6.639646,1979,7,3,0,184
7/4/1979,15.674434,5.839582,0.4709354,6.257008,6.257008,1090.306043,16.42966643,9.396260429,0.801723377,2.8443754,1979,7,4,0,185
7/5/1979,19.295404,6.892734,0,8.594069,8.594069,1098.900112,16.26078071,8.495918429,0.395384034,2.0866752,1979,7,5,0,186
7/6/1979,21.020494,7.5649533,0.6330482,9.79272365,9.79272365,1108.692836,16.22671129,8.105598471,0.485819491,2.0866752,1979,7,6,0,187
